"","Plot","Species","variable","mean","sd","sem","CV","CV2"
"49","Under","Miscanthus","LDMC",0.38667744251675,0.0620881313053922,0.00969653703459683,0.160568278566451,6.22788018236213
"50","Under","Miscanthus","SLA",5154.8030374122,2209.58884833161,345.079802671061,0.428646610218664,2.33292408282402
"51","Under","Oxalis","PHeight",0.0946666666666667,0.0399770048845612,0.00729876911892279,0.422292305118604,2.36802799359354
"52","Under","Oxalis","Chlorophyll",211.827586206897,62.621920492016,11.6285987030614,0.295626842628759,3.38264276378914
"53","Under","Oxalis","Toughness",1.77357142857143,0.956840728592894,0.180825900868189,0.539499403958941,1.85357016645769
"54","Under","Oxalis","LDMC",0.123697554079644,0.076122899595896,0.0141356675834777,0.615395350072024,1.62497165421052
"55","Under","Oxalis","SLA",5031.61498461966,6936.73714552029,1288.11975008271,1.37863035361889,0.725357596671952
"56","Under","Pseudognath","PHeight",0.356190476190476,0.139212986164513,0.0214810301234107,0.390838597520691,2.55860093231211
"57","Under","Pseudognath","Chlorophyll",205.904761904762,56.649461075864,8.74120161755295,0.275124579693142,3.63471704751114
"58","Under","Pseudognath","Toughness",1.37738095238095,0.89190891343917,0.137624533204713,0.647539747008559,1.54430674660467
"59","Under","Pseudognath","LDMC",0.23961312444137,0.120081667541539,0.0192284557292628,0.501148122923128,1.9954180296379
"60","Under","Pseudognath","SLA",1050.2558842747,1262.87204139748,202.22136848104,1.20244224317734,0.831640775824368
"61","Under","Themeda","PHeight",0.459130434782609,0.148306380876534,0.0218665829066894,0.323015791681845,3.09582387533842
"62","Under","Themeda","Chlorophyll",319.173913043478,72.2487383504841,10.6524953121187,0.226361664904119,4.41770915770378
"63","Under","Themeda","Toughness",3.22295454545455,2.08113461847412,0.313742848531731,0.645722609215579,1.54865260365406
"64","Under","Themeda","LDMC",0.468421065412664,0.155787256631274,0.02296957786172,0.332579527553976,3.00679962881271
"65","Under","Themeda","SLA",1362.12948733485,843.387789164058,124.350745431503,0.61916858639793,1.61506901669155
"66","Under","Tristachya","PHeight",0.498684210526316,0.135490521312659,0.0219794649170874,0.271696032183696,3.6805837463386
"67","Under","Tristachya","Chlorophyll",341.736842105263,71.8341499042126,11.6530378831816,0.210203118462966,4.7573033516921
"68","Under","Tristachya","Toughness",5.8048,2.60344106904689,0.440061859287987,0.448497979094351,2.22966445025972
"69","Under","Tristachya","LDMC",0.407275659330737,0.0898788093814256,0.0145802681873958,0.220682987854272,4.53138689902255
"70","Under","Tristachya","SLA",1787.99085906337,808.023434500891,131.078709851694,0.451916982911295,2.21279579616127
