"","species","trait","intercept","intercpet_stderror","intercpet_tval","micrositeU","micrositeU_stderror","micrositeU_tval","R_marginal","R_conditional","p_val"
"31","Tristachya","SA",620.06602631579,49.4529385650376,12.5385072011507,71.5731842105264,69.9370164178797,1.02339487551014,0.0137721728538575,0.0137721728538575,0.306121181350252
"32","Tristachya","Chlorophyll",337.503469144952,11.1851800962459,30.1741649433279,3.94736842105273,14.2691368377665,0.276636804729851,0.000985290375076731,0.0343814850954711,0.782059001057533
"33","Tristachya","Toughness",5.66852967479251,0.498997097048412,11.3598449937326,0.187917754260077,0.634300306799753,0.29625991386979,0.00118491461237308,0.0419431498782235,0.767031596605666
"34","Tristachya","PHeight",0.425191466737098,0.0323438799356285,13.1459635511671,0.0663157894736848,0.0288369059290773,2.29968463457157,0.0540417725000748,0.233602143654159,0.0214660932611432
"35","Tristachya","LDMC",0.467308543803357,0.0150904690442393,30.9671317991105,-0.0600328844726195,0.0213411459849346,-2.81301128416434,0.095437740578155,0.095437740578155,0.00490799288037768
"36","Tristachya","SLA",1377.91009153809,124.723025481261,11.0477603170805,410.080767525273,176.384994175804,2.3249186782666,0.0672250514935581,0.0672250514935581,0.0200763090181329
"37","Oxalis","SA",232.171893402384,26.969787604691,8.60859183637029,58.2451,26.0533650433598,2.2356075655895,0.0680055108824844,0.197204410438996,0.0253774885840962
"38","Oxalis","Chlorophyll",202.648612889761,12.4101569190748,16.3292546751189,6.82758620689649,14.8498616574341,0.459774398199762,0.00350403656874551,0.0551694737217687,0.645678161493528
"39","Oxalis","Toughness",1.61462152305987,0.1924494768559,8.38984625699372,0.155639589743063,0.236818493917177,0.657210453325048,0.00815387869114131,0.0408453707381285,0.511045605047504
"40","Oxalis","PHeight",0.0882474814156116,0.0129117110550265,6.83468527443983,0.0113333333333334,0.010806387562299,1.04876243499472,0.0144696003074982,0.223834562104464,0.294287470635817
"41","Oxalis","LDMC",0.160329369870799,0.0257933289581802,6.21592389763833,-0.0366318157911549,0.0358428398321273,-1.0220120939837,0.0186371286696919,0.0186371286696919,0.306775176405457
"42","Oxalis","SLA",2612.00954187553,1226.19255450138,2.13017892849438,2423.11538563921,1354.65433851134,1.78873334455343,0.0508776779686604,0.127564281930783,0.0736577701673479
