Sample	Plot	Species	Habitat	SA	Chlorophyll	Toughness	PHeight	LDMC	SLA	Reproductive
B48C	Control	Oxalis	Short	198.204	NA	2.000	0.19	9.52380952380952	20.81142	1
F5C	Control	Helichrysum	Open	20.65	188	1.745	0.24	NA	NA	1
F14C	Control	Oxalis	Open	201.348	171	0.865	0.04	11.2903225806452	17.83368	1
F40C	Control	Miscanthus	Tall	2010.207	387	11	1.24	42.090395480226	47.7592804026846	1
G6C	Control	Miscanthus	Short	2013.715	515	8.920	0.62	43.9622641509434	45.8055343347639	0
D30C	Control	Miscanthus	Open	2029.24	321	11	0.92	43.0722891566265	47.1124251748252	0
F19C	Control	Commelina	Open	206.201	247	2.865	0.19	3.44827586206897	59.79829	1
I6U	Under	Themeda	Under	207.582	363	4.210	0.43	50	4.15164	0
G26U	Under	Miscanthus	Under	2079.905	308	11	1.08	40.2877697841727	51.6262133928571	0
I17U	Under	Pseudognath	Under	208.406	135	1.410	0.52	12.7659574468085	16.3251366666667	1
E23U	Under	Commelina	Under	208.785	268	4.455	0.03	23.6842105263158	8.81536666666667	1
I23U	Under	Miscanthus	Under	2084.926	420	11	1.02	45.3097345132743	46.014968359375	0
I22U	Under	Miscanthus	Under	2094.783	446	11	0.67	27.9835390946502	74.8576866176471	0
F23C	Control	Helichrysum	Open	21.494	258	0.595	0.14	NA	NA	0
B1U	Under	Pseudognath	Under	212.546	201	0.565	0.46	23.4042553191489	9.08151090909091	1
I22C	Control	Miscanthus	Tall	2128.086	378	11	1.29	42.0581655480984	50.5986405319149	0
F35C	Control	Miscanthus	Tall	2163.038	403	11	0.92	37.9220779220779	57.0390157534247	0
D27C	Control	Tristachya	Short	218.129	427	2.790	0.38	65.2173913043478	3.34464466666667	0
I23C	Control	Miscanthus	Tall	2192.662	465	11	0.60	44.4043321299639	49.379461300813	0
E45C	Control	Pseudognath	Open	221.908	298	2.200	0.21	20	11.0954	0
F34U	Under	Miscanthus	Under	2215.925	446	5.240	0.74	42.4657534246575	52.1814596774194	0
E10C	Control	Oxalis	Open	223.295	179	1.715	0.04	10.3448275862069	21.5851833333333	0
G28U	Under	Pseudognath	Under	224.152	323	2.945	0.24	16.1290322580645	13.897424	1
D42C	Control	Themeda	Open	226.696	291	6.695	0.47	47.3684210526316	4.78580444444444	1
B18U	Under	Commelina	Under	230.767	260	3.915	0.10	4.25531914893617	54.230245	0
D20C	Control	Miscanthus	Short	2318.988	408	11	0.74	49.2492492492492	47.0867685365854	0
F17U	Under	Oxalis	Under	232.441	211	1.200	0.06	26.3157894736842	8.832758	0
B21U	Under	Themeda	Under	232.706	403	0.685	0.26	29.1666666666667	7.97849142857143	0
E49U	Under	Pseudognath	Under	234.461	156	1.115	0.27	18.3673469387755	12.7650988888889	0
F33U	Under	Miscanthus	Under	2348.189	357	9.700	1.52	33.4085778781038	70.2870085810811	0
G48C	Control	Miscanthus	Tall	2364.386	416	11	0.80	42.6282051282051	55.4652956390977	0
G3U	Under	Commelina	Under	239.779	124	5.310	0.14	13.4328358208955	17.8502144444444	0
G47U	Under	Helichrysum	Under	24.821	268	0.575	0.57	NA	NA	1
B42U	Under	Oxalis	Under	243.371	184	0.700	0.08	11.7647058823529	20.686535	0
B27C	Control	Miscanthus	Tall	2433.861	410	11	1.12	40.1622718052738	60.6006804545454	0
G6U	Under	Miscanthus	Under	2453.292	437	11	0.91	39.8058252427184	61.6314819512195	0
F41U	Under	Miscanthus	Under	2455.938	401	9.490	0.86	33.1536388140162	74.0774795121951	1
F7C	Control	Oxalis	Open	246.459	203	2.100	0.06	6.75675675675676	36.475932	0
E40C	Control	Oxalis	Open	248.185	247	2.995	0.06	10.6060606060606	23.4003	0
D44C	Control	Tristachya	Short	248.521	270	6.935	0.83	48	5.17752083333333	1
G12C	Control	Miscanthus	Short	2481.783	406	5.625	0.66	43.8721136767318	56.5685760728745	0
I16C	Control	Oxalis	Short	250.858	135	1.215	0.18	20.4819277108434	12.2477729411765	0
E31C	Control	Oxalis	Open	252.314	285	1.310	0.04	11.7647058823529	21.44669	0
G17U	Under	Commelina	Under	252.365	313	3.155	0.06	10.1010101010101	24.984135	1
B49U	Under	Oxalis	Under	252.565	234	1.250	0.08	9.83606557377049	25.6774416666667	0
F32C	Control	Commelina	Open	252.876	215	1.690	0.02	9.33333333333333	27.0938571428571	1
F31U	Under	Miscanthus	Under	2567.839	325	11	1.14	31.7733990147783	80.8172584496124	0
G46U	Under	Miscanthus	Under	2567.839	346	11	0.93	39.0736342042755	65.717946443769	0
D22U	Under	Themeda	Under	257.625	253	2.725	0.46	47.3684210526316	5.43875	1
F17C	Control	Oxalis	Short	258.68	209	1.800	0.10	4.16666666666667	62.0832	1
D24C	Control	Miscanthus	Short	2585.51	351	11	0.74	37.0642201834862	69.7575717821782	0
E5C	Control	Oxalis	Short	259.017	213	0.840	0.06	16.2162162162162	15.972715	1
G44U	Under	Helichrysum	Under	26.517	262	0.485	0.59	NA	NA	1
B45U	Under	Oxalis	Under	260.171	NA	1.370	0.08	3.57142857142857	72.84788	1
E40U	Under	Oxalis	Under	260.288	241	2.655	0.04	16.4179104477612	15.8539054545455	1
B16U	Under	Miscanthus	Under	2609.599	412	11	1.10	33.7591240875912	77.3005541621622	0
E37C	Control	Oxalis	Open	261.374	184	1.105	0.06	97.1014492753623	2.69176208955224	0
E18C	Control	Oxalis	Open	261.542	209	1.995	0.04	9.45945945945946	27.6487257142857	0
I15U	Under	Oxalis	Under	262.057	283	2.295	0.11	7.86516853932584	33.3186757142857	0
G13U	Under	Commelina	Under	262.378	156	3.430	0.15	16.6666666666667	15.74268	0
B48U	Under	Oxalis	Under	264.751	122	1.550	0.10	11.8421052631579	22.3567511111111	1
B16C	Control	Miscanthus	Short	2642.28	488	11	1.02	32.5823223570191	81.0955085106383	0
E13C	Control	Themeda	Open	265.052	289	1.520	0.23	45.7142857142857	5.7980125	0
D31U	Under	Helichrysum	Under	27.138	306	NA	0.52	NA	NA	1
F23U	Under	Helichrysum	Under	27.277	241	0.765	0.20	NA	NA	0
I43U	Under	Helichrysum	Under	27.586	298	1.170	0.48	14.2857142857143	1.93102	1
F21U	Under	Oxalis	Under	270.725	196	4.130	0.11	1.17647058823529	230.11625	0
I4C	Control	Commelina	Short	271.345	184	4.215	0.10	13.2352941176471	20.5016222222222	0
F22U	Under	Commelina	Under	271.88	213	6.665	0.02	11.1111111111111	24.4692	0
G7C	Control	Themeda	Tall	272.947	429	0.910	0.60	62.1621621621622	4.39088652173913	1
I27C	Control	Miscanthus	Short	2723.059	425	11	1.14	44.5669291338583	61.100440459364	0
F29U	Under	Miscanthus	Under	2724.105	281	11	1.11	36.1867704280156	75.2790306451613	0
F9C	Control	Oxalis	Open	274.584	158	1.820	0.10	3.48837209302326	78.71408	0
D18U	Under	Commelina	Under	275.123	158	2.330	0.07	6.94444444444444	39.617712	0
E5U	Under	Oxalis	Under	276.035	243	1.060	0.05	18.8405797101449	14.6510884615385	0
B27U	Under	Miscanthus	Under	2786.072	376	11	1.26	40.1294498381877	69.4271167741935	0
D25C	Control	Commelina	Open	279.762	211	7.180	0.07	15.5844155844156	17.951395	1
I21C	Control	Helichrysum	Tall	28.019	217	NA	0.24	28.5714285714286	0.980665	1
E38U	Under	Helichrysum	Under	28.702	226	NA	0.23	NA	NA	1
G49U	Under	Helichrysum	Under	28.71	198	0.335	0.24	28.5714285714286	1.00485	1
G11U	Under	Commelina	Under	281.499	213	2.895	0.04	23.6842105263158	11.8855133333333	0
G5U	Under	Oxalis	Under	281.645	179	1.520	0.12	7.40740740740741	38.022075	0
E10U	Under	Oxalis	Under	285.446	236	3.875	0.05	15.3846153846154	18.55399	1
F33C	Control	Miscanthus	Tall	2860.578	376	11	1.43	42.2480620155039	67.7090939449541	0
G48U	Under	Miscanthus	Under	2885.4	232	11	1.40	37.0860927152318	77.80275	0
I44U	Under	Helichrysum	Under	29.335	401	0.865	0.23	33.3333333333333	0.88005	1
E33U	Under	Helichrysum	Under	29.922	342	NA	0.22	NA	NA	1
I16U	Under	Oxalis	Under	290.121	110	1.030	0.14	16	18.1325625	0
E45U	Under	Pseudognath	Under	291.865	304	1.820	0.28	18.0555555555556	16.1648307692308	0
B12U	Under	Commelina	Under	293.899	338	3.110	0.10	23.8095238095238	12.343758	0
B40U	Under	Miscanthus	Under	2946.363	389	11	0.89	32.2878228782288	91.2530712	0
G10U	Under	Miscanthus	Under	2957.7	410	2.640	0.98	47.3867595818815	62.4161691176471	0
I4U	Under	Commelina	Under	298.228	342	4.480	0.08	18.8405797101449	15.8290246153846	0
D40C	Control	Tristachya	Short	299.492	203	2.500	0.28	41.5094339622641	7.21503454545455	1
I20U	Under	Helichrysum	Under	30.241	230	1.230	0.38	NA	NA	1
D20U	Under	Miscanthus	Under	3037.552	399	11	1.49	44.8648648648649	67.7044722891566	1
D18C	Control	Commelina	Open	304.027	241	3.020	0.13	16.6666666666667	18.24162	0
E7C	Control	Commelina	Short	304.435	283	3.040	0.08	23.2876712328767	13.0727970588235	1
B50C	Control	Commelina	Short	304.903	228	4.515	0.07	20.2247191011236	15.0757594444444	0
F13C	Control	Commelina	Open	306.276	258	6.825	0.07	26.4705882352941	11.5704266666667	1
E12U	Under	Themeda	Under	306.659	359	3.880	0.17	81.8181818181818	3.74805444444444	0
E13U	Under	Themeda	Under	309.183	300	6.080	0.20	36.1111111111111	8.56199076923077	0
B33U	Under	Themeda	Under	317.925	346	5.385	0.45	47.9166666666667	6.63495652173913	0
G33U	Under	Tristachya	Under	318.57	289	2.525	0.51	60	5.3095	1
G3C	Control	Commelina	Short	319.52	236	2.530	0.19	3.48837209302326	91.5957333333333	0
F11C	Control	Oxalis	Open	319.651	243	2.660	0.14	6.06060606060606	52.742415	1
E34C	Control	Commelina	Open	319.814	194	3.470	0.09	13.953488372093	22.9200033333333	1
F4U	Under	Commelina	Under	320.879	264	2.740	0.32	11.6883116883117	27.4529811111111	0
G1U	Under	Miscanthus	Under	3214.188	403	7.660	1.02	46.3667820069204	69.3209202985074	0
D25U	Under	Commelina	Under	322.338	222	2.380	0.17	16.3934426229508	19.662618	0
I24U	Under	Commelina	Under	322.565	327	2.945	0.25	7.79220779220779	41.3958416666667	0
B24C	Control	Themeda	Short	323.575	387	3.145	0.30	50	6.4715	1
D26U	Under	Commelina	Under	324.727	182	3.060	0.04	13.9240506329114	23.3213027272727	0
I8C	Control	Themeda	Short	326.33	236	1.455	0.46	15.1515151515152	21.53778	1
F2C	Control	Helichrysum	Tall	33.519	429	0.675	0.21	NA	NA	1
E44C	Control	Helichrysum	Open	33.533	321	NA	0.25	NA	NA	1
F24C	Control	Helichrysum	Tall	33.548	205	1.010	0.21	50	0.67096	1
F20U	Under	Helichrysum	Under	33.621	175	2.125	0.33	50	0.67242	1
F20C	Control	Helichrysum	Open	33.972	209	2.910	0.18	42.8571428571429	0.79268	1
