Sample	Site	Plot	Species	WMass	Dmass	SA	Chlorophyll	Toughness	PHeight	Reproductive	Habitat	Theight	Circ	NN1	NN2	Pair	LDMC	SLA
E33C	E	Control	Helichrysum	0.006	NA	34.853	239	NA	0.27	F	Open	2	5.9	2	1	120	NA	NA
E33U	E	Under	Helichrysum	0.001	NA	29.922	342	NA	0.22	F	Under	2	5.9	2	1	120	NA	NA
E34C	E	Control	Commelina	0.086	0.012	319.814	194	3.470	0.09	F	Open	2	9.2	2	4	121	13.953488372093	22.9200033333333
E34U	E	Under	Commelina	0.088	0.012	366.636	243	2.510	0.12	F	Under	2	9.2	2	4	121	13.6363636363636	26.88664
E35C	E	Control	Oxalis	0.099	0.013	357.626	306	1.585	0.07	F	Open	2	9.2	2	4	122	13.1313131313131	27.2345953846154
E35U	E	Under	Oxalis	0.101	0.015	379.759	279	2.235	0.07	N	Under	2	9.2	2	4	122	14.8514851485149	25.5704393333333
E36C	E	Control	Miscanthus	0.261	0.084	1652.463	355	9.485	0.74	N	Open	2	4.3	1	1	123	32.183908045977	51.3443860714286
E36U	E	Under	Miscanthus	0.129	0.051	1024.251	414	10.355	0.88	N	Under	2	4.3	1	1	123	39.5348837209302	25.9075252941176
E37C	E	Control	Oxalis	0.069	0.067	261.374	184	1.105	0.06	N	Open	2	8.1	1	2	124	97.1014492753623	2.69176208955224
E37U	E	Under	Oxalis	0.135	0.011	475.676	154	3.380	0.08	F	Under	2	8.1	1	2	124	8.14814814814815	58.3784181818182
E38C	E	Control	Helichrysum	0.005	NA	39.801	332	NA	0.26	F	Open	2	8.1	1	2	125	NA	NA
E38U	E	Under	Helichrysum	0.046	NA	28.702	226	NA	0.23	F	Under	2	8.1	1	2	125	NA	NA
E39C	E	Control	Themeda	0.038	0.015	331.031	370	5.425	0.14	F	Open	2	8.1	1	2	126	39.4736842105263	8.38611866666667
E39U	E	Under	Themeda	0.072	0.027	567.331	340	3.725	0.32	F	Under	2	8.1	1	2	126	37.5	15.1288266666667
E3C	E	Control	Oxalis	0.051	0.006	197.669	196	1.285	0.05	N	Open	2.5	6.6	2	1.5	127	11.7647058823529	16.801865
E3U	E	Under	Oxalis	0.051	0.005	194.092	103	NA	0.06	N	Under	2.5	6.6	2	1.5	127	9.80392156862745	19.797384
E40C	E	Control	Oxalis	0.066	0.007	248.185	247	2.995	0.06	N	Open	0.5	2.5	2	2	128	10.6060606060606	23.4003
E40U	E	Under	Oxalis	0.067	0.011	260.288	241	2.655	0.04	F	Under	0.5	2.5	2	2	128	16.4179104477612	15.8539054545455
E41C	E	Control	Helichrysum	0.001	NA	36.943	277	NA	0.23	F	Open	0.5	3	2	1.5	129	NA	NA
E41U	E	Under	Helichrysum	0.006	NA	50.984	348	1.555	0.28	F	Under	0.5	3	2	1.5	129	NA	NA
E42C	E	Control	Pseudognath	0.019	0.006	73.702	171	2.120	0.26	F	Open	2.5	3	2	2	130	31.5789473684211	2.33389666666667
E42U	E	Under	Pseudognath	0.036	0.005	182.775	158	1.800	0.24	F	Under	2.5	3	2	2	130	13.8888888888889	13.1598
E43C	E	Control	Oxalis	0.051	0.007	188.375	287	NA	0.05	N	Open	0.5	3	2	1.5	131	13.7254901960784	13.7244642857143
E43U	E	Under	Oxalis	0.106	0.018	386.495	245	1.605	0.07	N	Under	0.5	3	2	1.5	131	16.9811320754717	22.7602611111111
E44C	E	Control	Helichrysum	0.004	NA	33.533	321	NA	0.25	F	Open	2.5	7	1	2	132	NA	NA
E44U	E	Under	Helichrysum	0.009	NA	44.264	441	0.805	0.26	F	Under	2.5	7	1	2	132	NA	NA
E45C	E	Control	Pseudognath	0.055	0.011	221.908	298	2.200	0.21	N	Open	2	7.7	1	1	133	20	11.0954
E45U	E	Under	Pseudognath	0.072	0.013	291.865	304	1.820	0.28	N	Under	2	7.7	1	1	133	18.0555555555556	16.1648307692308
E46C	E	Control	Themeda	0.06	0.022	496.354	342	5.665	0.21	N	Open	2	7.7	1	1	134	36.6666666666667	13.5369272727273
E46U	E	Under	Themeda	0.027	0.012	350.94	357	1.815	0.38	N	Under	2	7.7	1	1	134	44.4444444444444	7.89615
E47C	E	Control	Oxalis	0.097	0.014	358.78	258	3.370	0.04	N	Open	2	5.9	1	1	135	14.4329896907216	24.8583285714286
E47U	E	Under	Oxalis	0.105	0.009	384.473	236	1.100	0.06	N	Under	2	5.9	1	1	135	8.57142857142857	44.8551833333333
E48C	E	Control	Pseudognath	0.019	0.007	113.236	194	1.235	0.16	N	Open	2	5.9	1	1	136	36.8421052631579	3.07354857142857
E48U	E	Under	Pseudognath	0.028	0.007	164.136	215	1.400	0.35	F	Under	2	5.9	1	1	136	25	6.56544
E49C	E	Control	Pseudognath	0.041	0.007	194.376	224	2.005	0.17	N	Open	2	4.3	1	1	137	17.0731707317073	11.38488
E49U	E	Under	Pseudognath	0.049	0.009	234.461	156	1.115	0.27	N	Under	2	4.3	1	1	137	18.3673469387755	12.7650988888889
E4C	E	Control	Tristachya	0.06	0.021	470.11	336	9.120	0.44	N	Open	2.5	6.6	2	1.5	138	35	13.4317142857143
E4U	E	Under	Tristachya	0.048	0.018	538.211	319	9.925	0.47	N	Under	2.5	6.6	2	1.5	138	37.5	14.3522933333333
E5C	E	Control	Oxalis	0.074	0.012	259.017	213	0.840	0.06	F	Short	2.5	6.2	0.5	0.5	139	16.2162162162162	15.972715
E5U	E	Under	Oxalis	0.069	0.013	276.035	243	1.060	0.05	N	Under	2.5	6.2	0.5	0.5	139	18.8405797101449	14.6510884615385
E6C	E	Control	Themeda	0.057	0.017	458.86	372	1.675	0.27	N	Short	2.5	6.6	1.5	2	140	29.8245614035088	15.3853058823529
E6U	E	Under	Themeda	0.05	0.01	389.103	344	2.390	0.30	N	Under	2.5	6.6	1.5	2	140	20	19.45515
E7C	E	Control	Commelina	0.073	0.017	304.435	283	3.040	0.08	F	Short	2.5	6.2	0.5	0.5	141	23.2876712328767	13.0727970588235
E7U	E	Under	Commelina	0.103	0.014	355.838	177	3.435	0.04	N	Under	2.5	6.2	0.5	0.5	141	13.5922330097087	26.17951
E8C	E	Control	Pseudognath	0.034	0.005	186.402	228	1.085	0.14	N	Short	2.5	6.2	0.5	0.5	142	14.7058823529412	12.675336
E8U	E	Under	Pseudognath	0.029	0.004	116.779	226	1.220	0.29	N	Under	2.5	6.2	0.5	0.5	142	13.7931034482759	8.4664775
E9C	E	Control	Themeda	0.047	0.014	396.241	384	4.370	0.17	N	Short	2.5	6.2	0.5	0.5	143	29.7872340425532	13.3023764285714
E9U	E	Under	Themeda	0.043	0.013	397.494	270	1.130	0.20	N	Under	2.5	6.2	0.5	0.5	143	30.2325581395349	13.1478784615385
F10C	F	Control	Themeda	0.088	0.056	697.266	283	3.625	0.39	F	Tall	1.5	6.46	6	7	144	63.6363636363636	10.9570371428571
F10U	F	Under	Themeda	0.053	0.036	373.018	270	2.415	0.46	F	Under	1.5	6.46	6	7	144	67.9245283018868	5.49165388888889
F11C	F	Control	Oxalis	0.099	0.006	319.651	243	2.660	0.14	F	Open	2	9.23	5	6	145	6.06060606060606	52.742415
F11U	F	Under	Oxalis	0.131	0.027	404.684	334	2.270	0.17	F	Under	2	9.23	5	6	145	20.6106870229008	19.6346681481482
F12C	F	Control	Commelina	0.158	0.043	463.565	393	3.875	0.12	F	Open	2	9.23	5	6	146	27.2151898734177	17.0333186046512
F12U	F	Under	Commelina	0.084	0.003	67.974	302	1.850	0.11	F	Under	2	9.23	5	6	146	3.57142857142857	19.03272
F13C	F	Control	Commelina	0.102	0.027	306.276	258	6.825	0.07	F	Open	1	4.3	5	6	147	26.4705882352941	11.5704266666667
F13U	F	Under	Commelina	0.205	0.028	688.609	255	4.740	0.23	N	Under	1	4.3	5	6	147	13.6585365853659	50.4160160714286
F14C	F	Control	Oxalis	0.062	0.007	201.348	171	0.865	0.04	F	Open	1	4.3	5	6	148	11.2903225806452	17.83368
F14U	F	Under	Oxalis	0.056	0.012	194.507	133	1.860	0.13	N	Under	1	4.3	5	6	148	21.4285714285714	9.07699333333333
F15C	F	Control	Pseudognath	0.132	0.038	728.487	186	3.250	0.32	F	Short	1	4.3	5	6	149	28.7878787878788	25.3053378947368
F15U	F	Under	Pseudognath	0.104	0.031	424.579	173	5.290	0.39	F	Under	1	4.3	5	6	149	29.8076923076923	14.2439406451613
F16C	F	Control	Commelina	0.211	0.043	564.298	321	2.770	0.14	F	Open	2	6.37	0.5	2.5	150	20.3791469194313	27.689971627907
F16U	F	Under	Commelina	0.086	0.02	342.938	272	3.665	0.14	N	Under	2	6.37	0.5	2.5	150	23.2558139534884	14.746334
F17C	F	Control	Oxalis	0.072	0.003	258.68	209	1.800	0.10	F	Short	2	6.37	0.5	2.5	151	4.16666666666667	62.0832
F17U	F	Under	Oxalis	0.076	0.02	232.441	211	1.200	0.06	N	Under	2	6.37	0.5	2.5	151	26.3157894736842	8.832758
F18C	F	Control	Themeda	0.038	0.021	344.677	384	3.445	0.56	F	Tall	2	6.37	0.5	2.5	152	55.2631578947368	6.23701238095238
F18U	F	Under	Themeda	0.035	0.02	368.139	342	1.425	0.63	F	Under	2	6.37	0.5	2.5	152	57.1428571428571	6.4424325
F19C	F	Control	Commelina	0.058	0.002	206.201	247	2.865	0.19	F	Open	2	6.05	0.5	4	153	3.44827586206897	59.79829
F19U	F	Under	Commelina	0.102	0.017	361.693	287	3.225	0.22	N	Under	2	6.05	0.5	4	153	16.6666666666667	21.70158
F1C	F	Control	Commelina	0.207	0.041	546.873	338	5.620	0.08	N	Open	1.5	4.65	1.5	2	154	19.8067632850242	27.6104173170732
F1U	F	Under	Commelina	0.146	0.015	547.853	319	3.780	0.2	N	Under	1.5	4.66	1.5	2	154	10.2739726027397	53.3243586666667
F20C	F	Control	Helichrysum	0.007	0.003	33.972	209	2.910	0.18	F	Open	2	6.05	0.5	4	155	42.8571428571429	0.79268
F20U	F	Under	Helichrysum	0.006	0.003	33.621	175	2.125	0.33	F	Under	2	6.05	0.5	4	155	50	0.67242
F21C	F	Control	Oxalis	0.045	0.011	161.719	148	1.025	0.2	N	Short	1.5	5.35	1.5	2	156	24.4444444444444	6.61577727272727
F21U	F	Under	Oxalis	0.085	0.001	270.725	196	4.130	0.11	N	Under	1.5	5.35	1.5	2	156	1.17647058823529	230.11625
F22C	F	Control	Commelina	0.137	0.021	367.876	266	4.655	0.07	N	Open	1.5	5.35	1.5	2	157	15.3284671532847	23.9995295238095
F22U	F	Under	Commelina	0.081	0.009	271.88	213	6.665	0.02	N	Under	1.5	5.35	1.5	2	157	11.1111111111111	24.4692
F23C	F	Control	Helichrysum	0.002	NA	21.494	258	0.595	0.14	N	Open	1.5	5.35	1.5	2	158	NA	NA
F23U	F	Under	Helichrysum	0.003	NA	27.277	241	0.765	0.20	N	Under	1.5	5.35	1.5	2	158	NA	NA
F24C	F	Control	Helichrysum	0.004	0.002	33.548	205	1.010	0.21	F	Tall	2	7.96	0.5	3	159	50	0.67096
F24U	F	Under	Helichrysum	0.007	0.004	70.561	264	1.185	0.32	F	Under	2	7.96	0.5	3	159	57.1428571428571	1.2348175
F25C	F	Control	Oxalis	0.029	0.01	131.693	167	0.740	0.07	F	Open	1.5	7.96	0.5	1	160	34.4827586206897	3.819097
F25U	F	Under	Oxalis	0.024	0.007	98.584	124	0.625	0.09	N	Under	1.5	7.96	0.5	1	160	29.1666666666667	3.38002285714286
F26C	F	Control	Miscanthus	0.516	0.199	1725.317	496	NA	0.68	N	Open	2.5	10	0.5	1	161	38.5658914728682	44.7368629145729
