Sample	Site	Plot	Species	WMass	Dmass	SA	Chlorophyll	Toughness	PHeight	Reproductive	Habitat	Theight	Circ	NN1	NN2	Pair	LDMC	SLA
I37U	I	Under	Themeda	0.068	0.028	630.947	408	2.665	0.38	N	Under	1	4.1	0.5	0.5	266	41.1764705882353	15.3229985714286
I38C	I	Control	Commelina	0.227	0.043	644.88	332	3.360	0.09	N	Away	1	4.1	0.5	0.5	267	18.942731277533	34.0436651162791
I38U	I	Under	Commelina	0.046	0.002	157.112	198	4.420	0.09	N	Under	1	4.1	0.5	0.5	267	4.34782608695652	36.13576
I39C	I	Control	Miscanthus	0.895	0.398	3506.15	507	NA	0.86	N	Away	1	4.1	0.5	0.5	268	44.4692737430168	78.8443278894472
I39U	I	Under	Miscanthus	0.988	0.378	3777.48	482	NA	0.74	N	Under	1	4.1	0.5	0.5	268	38.2591093117409	98.7341333333333
I3C	I	Control	Themeda	0.036	0.019	380.955	334	6.695	0.50	F	Short	0.5	2.7	0.5	1	269	52.7777777777778	7.2180947368421
I3U	I	Under	Themeda	0.023	0.01	177.262	365	1.170	0.35	N	Under	0.5	2.7	0.5	1	269	43.4782608695652	4.077026
I40C	I	Control	Tristachya	0.093	0.053	388.531	289	4.510	0.51	F	Away	1	2.5	2	2	270	56.989247311828	6.81761943396226
I40U	I	Under	Tristachya	0.418	0.069	601.346	336	4.335	0.51	F	Under	1	2.5	2	2	270	16.5071770334928	36.4293663768116
I41C	I	Control	Pseudognath	0.023	0.008	84.867	203	1.105	0.30	F	Away	1	2	0.5	1	271	34.7826086956522	2.43992625
I41U	I	Under	Pseudognath	0.028	0.006	135.243	215	0.875	0.41	F	Under	1	2	0.5	1	271	21.4285714285714	6.31134
I42C	I	Control	Tristachya	0.107	0.066	571.885	378	7.870	0.40	N	Away	1.5	3.1	0.5	0.5	272	61.6822429906542	9.27146893939394
I42U	I	Under	Tristachya	0.182	0.071	686.728	285	NA	0.62	F	Under	1.5	3.1	0.5	0.5	272	39.010989010989	17.6034501408451
I43C	I	Control	Helichrysum	0.008	NA	18.26	112	NA	0.38	F	Away	0.5	1.6	2	3	273	NA	NA
I43U	I	Under	Helichrysum	0.007	0.001	27.586	298	1.170	0.48	F	Under	0.5	1.6	2	3	273	14.2857142857143	1.93102
I44C	I	Control	Helichrysum	0.001	NA	16.933	260	NA	0.26	F	Away	1	3.4	1	2	274	NA	NA
I44U	I	Under	Helichrysum	0.003	0.001	29.335	401	0.865	0.23	F	Under	1	3.4	1	2	274	33.3333333333333	0.88005
I45C	I	Control	Pseudognath	0.021	0.006	109.079	182	0.840	0.28	N	Away	1	3.4	1	2	275	28.5714285714286	3.817765
I45U	I	Under	Pseudognath	0.008	0.003	44.144	188	1.825	0.20	N	Under	1	3.4	1	2	275	37.5	1.17717333333333
I46C	I	Control	Tristachya	0.11	0.052	517.477	264	3.615	0.40	F	Away	1	3.4	1	2	276	47.2727272727273	10.9466288461538
I46U	I	Under	Tristachya	0.097	0.035	467.993	344	9.155	0.46	F	Under	1	3.4	1	2	276	36.0824742268041	12.9700917142857
I47C	I	Control	Helichrysum	0.011	0.005	50.189	270	1.205	0.58	F	Away	1	2.2	3	3	277	45.4545454545455	1.104158
I47U	I	Under	Helichrysum	0.001	NA	13.481	230	NA	0.42	F	Under	1	2.2	3	3	277	NA	NA
I48C	I	Control	Helichrysum	0.001	NA	9.919	239	NA	0.46	F	Away	1	2.4	0.5	0.5	278	NA	NA
I48U	I	Under	Helichrysum	0.006	0.004	34.115	281	0.770	0.46	F	Under	1	2.4	0.5	0.5	278	66.6666666666667	0.511725
I49C	I	Control	Pseudognath	0.025	0.006	105.939	148	2.320	0.17	F	Away	1.5	3.6	0.5	0.5	279	24	4.414125
I49U	I	Under	Pseudognath	0.024	0.002	142.616	165	1.310	0.45	F	Under	1.5	3.6	0.5	0.5	279	8.33333333333333	17.11392
I4C	I	Control	Commelina	0.068	0.009	271.345	184	4.215	0.10	N	Short	0.5	2.7	0.5	1	280	13.2352941176471	20.5016222222222
